step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,2.958581662536599,0,0.0,0.20870945570808713,0,0.0
10.0,1,0.0,0.0,5.642905729217395,0,0.0,0.6523367730894915,0,0.0
15.0,2,1.0,0.07142857142857142,6.119307167256878,1,1.0,0.472565041096189,1,1.0
20.0,2,6.0,0.3157894736842105,6.93019650503188,1,6.0,0.39280152833805354,1,6.0
25.0,2,11.0,0.4583333333333333,7.604018862680907,1,11.0,0.5299100480256369,1,11.0
30.0,1,16.0,0.5714285714285714,8.693257274774762,1,16.0,0.48502497989099924,1,16.0
35.0,3,24.0,0.7058823529411765,7.848007409891994,2,24.0,0.46764261688459713,2,24.0
40.0,6,41.0,1.1388888888888888,6.013289569782534,3,35.0,0.16065679091312066,3,35.0
45.0,10,80.0,2.0,6.241509630263321,5,56.0,0.28682714970643275,5,56.0
50.0,13,131.0,2.977272727272727,5.345179025844295,5,81.0,0.24789593978314534,5,81.0
55.0,15,190.0,3.877551020408163,5.866561976771074,6,107.0,0.21947225822826472,6,107.0
60.0,16,248.0,4.96,5.9884200277324044,9,140.0,0.24959208298448493,9,140.0
65.0,10,93.0,1.7547169811320755,5.079532876813609,4,101.0,0.17510609942689248,4,101.0
70.0,11,58.0,1.0357142857142858,5.076961306971218,7,106.0,0.13768694983701,7,106.0
75.0,12,110.0,1.9298245614035088,5.723289663336583,6,83.0,0.22294622729399594,6,83.0
80.0,19,177.0,2.8095238095238093,5.0068466200135315,9,111.0,0.14854848666721407,9,111.0
85.0,23,278.0,4.276923076923077,5.020295741380953,12,149.0,0.1311833334603841,12,149.0
90.0,26,383.0,5.550724637681159,5.29740113646409,14,212.0,0.15632574864336896,14,212.0
95.0,27,510.0,7.183098591549296,5.1535592989854075,15,285.0,0.13745101450652497,15,285.0
100.0,32,656.0,8.631578947368421,4.314979458738172,18,375.0,0.0947815667073548,18,375.0
